timestamp_utc,language,language_version,git_commit,os,arch,cpu_cores,n_initial,read_pct,dist,threads,shards,seed,warmup_s,duration_s,ops_total,ops_per_sec,latency_us_p50,latency_us_p95,latency_us_p99,rss_bytes
2026-01-03T20:25:25Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,1,128,0,2.00,10.00,56101881,5610188.10,500.00,500.00,500.00,
2026-01-03T20:25:51Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,2,128,0,2.00,10.00,104589793,10458979.30,500.00,500.00,500.00,
2026-01-03T20:26:16Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,4,128,0,2.00,10.00,187663766,18766376.60,500.00,500.00,500.00,
2026-01-03T20:26:42Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,8,128,0,2.00,10.00,199293981,19929398.10,500.00,500.00,500.00,
2026-01-03T20:27:07Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,12,128,0,2.00,10.00,208849738,20884973.80,500.00,500.00,500.00,
2026-01-03T20:27:33Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,1,128,0,2.00,10.00,67379448,6737944.80,500.00,500.00,500.00,
2026-01-03T20:27:59Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,2,128,0,2.00,10.00,124688761,12468876.10,500.00,500.00,500.00,
2026-01-03T20:28:24Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,4,128,0,2.00,10.00,225234007,22523400.70,500.00,500.00,500.00,
2026-01-03T20:28:50Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,8,128,0,2.00,10.00,233330603,23333060.30,500.00,500.00,500.00,
2026-01-03T20:29:16Z,go,go1.22.0,unknown,darwin,arm64,8,100000,95,uniform,12,128,0,2.00,10.00,231500510,23150051.00,500.00,500.00,500.00,
2026-01-03T20:29:42Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,1,128,0,2.00,10.00,31955789,3195578.90,500.00,500.00,500.00,
2026-01-03T20:30:08Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,2,128,0,2.00,10.00,60555741,6055574.10,500.00,500.00,500.00,
2026-01-03T20:30:34Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,4,128,0,2.00,10.00,111834277,11183427.70,500.00,500.00,500.00,
2026-01-03T20:31:00Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,8,128,0,2.00,10.00,135958597,13595859.70,500.00,500.00,500.00,
2026-01-03T20:31:26Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,12,128,0,2.00,10.00,138774017,13877401.70,500.00,500.00,500.00,
2026-01-03T20:31:52Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,1,128,0,2.00,10.00,35189202,3518920.20,500.00,500.00,500.00,
2026-01-03T20:32:18Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,2,128,0,2.00,10.00,67245901,6724590.10,500.00,500.00,500.00,
2026-01-03T20:32:45Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,4,128,0,2.00,10.00,125647397,12564739.70,500.00,500.00,500.00,
2026-01-03T20:33:11Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,8,128,0,2.00,10.00,156534607,15653460.70,500.00,500.00,500.00,
2026-01-03T20:33:37Z,go,go1.22.0,unknown,darwin,arm64,8,1000000,95,uniform,12,128,0,2.00,10.00,156748182,15674818.20,500.00,500.00,500.00,
